,ds,yhat,yhat_lower,yhat_upper
0,2010-01-05,1140.1386310119485,733.1725570170105,1569.093001607464
1,2010-01-06,1135.6848283152624,717.9920041805716,1583.321803949983
2,2010-01-07,1135.3454745128354,738.177350864821,1543.696071019333
3,2010-01-08,1134.3847291572558,738.7245005780594,1545.9170314827495
4,2010-01-11,1133.537940813757,731.1339892403607,1524.1877955484726
5,2010-01-12,1131.0084031577765,678.7188072486447,1532.5125631318224
6,2010-01-13,1126.4302440421895,699.4127962261275,1535.190438623016
7,2010-01-14,1126.0969173662863,700.4606909578426,1521.318620977211
8,2010-01-15,1125.280762719208,728.6919756535985,1541.7215912607853
9,2010-01-19,1123.942700896038,700.9251139409496,1513.3924233294279
10,2010-01-20,1120.2327837975697,705.6243872121203,1541.2344049862809
11,2010-01-21,1120.898153644956,692.1339169779013,1536.4345010196191
12,2010-01-22,1121.1993744648996,719.1715461915683,1540.2776118562433
13,2010-01-25,1125.56646352401,722.379919682817,1537.4918114947147
14,2010-01-26,1125.1860821058078,720.4589659073116,1523.6110081196111
15,2010-01-27,1122.9177547830836,723.0321161385962,1496.7453734544156
16,2010-01-28,1125.0211567746262,683.7593853447823,1534.559953475321
17,2010-01-29,1126.7309604450907,731.0950411337755,1541.866185956524
18,2010-02-01,1134.8849938359344,702.8068278169726,1538.9190519812757
19,2010-02-02,1135.5358159174336,724.3744163130334,1581.8341337315878
20,2010-02-03,1134.143788076481,723.6848352335574,1516.9337589729355
21,2010-02-04,1136.947876011236,749.5502573512955,1556.617919029165
22,2010-02-05,1139.1646325986462,734.7875156894504,1546.9672474775582
23,2010-02-08,1147.5431859475884,727.8498281181459,1572.948810824755
24,2010-02-09,1147.810115363858,745.3597033984107,1593.7780805290486
25,2010-02-10,1145.8013600037982,726.1522953045597,1545.4338677899962
26,2010-02-11,1147.75999735611,739.6570826635191,1561.9810087959067
27,2010-02-12,1148.9108633309422,754.6456566702043,1558.2098451540128
28,2010-02-16,1151.3932486259582,742.7922316527366,1590.7079336703803
29,2010-02-17,1147.4764665345126,736.6760087106385,1567.653542107997
30,2010-02-18,1147.4338158604282,702.4595930027297,1571.9016832886878
31,2010-02-19,1146.5209835492542,733.8483402493615,1556.4069150451453
32,2010-02-22,1144.2836153327473,728.3594123733035,1537.1588391510818
33,2010-02-23,1140.7799985399342,738.1792868837844,1529.2084594072633
34,2010-02-24,1134.9803067981836,748.0362735432768,1537.2337010155647
35,2010-02-25,1133.1870166917024,716.9181250063771,1533.028404406557
36,2010-02-26,1130.6842470003933,727.2896161551815,1532.3879003260133
37,2010-03-01,1124.8830988622592,752.4921317202464,1529.4794378429008
38,2010-03-02,1120.6570084215277,717.2048701656635,1532.3930982670925
39,2010-03-03,1114.3895319951043,706.9422446258295,1517.7786324790145
40,2010-03-04,1112.3899806700956,702.5522344686785,1509.7686450787733
41,2010-03-05,1109.9449104088308,741.3201331826486,1504.3623495026088
42,2010-03-08,1105.8595405295657,693.5351047006184,1496.9872940230857
43,2010-03-09,1102.6850506436367,694.9827460176706,1518.4012582828875
44,2010-03-10,1097.68216056296,684.7179708789149,1544.4986555881633
45,2010-03-11,1097.139039040172,713.054889800029,1452.4710517399383
46,2010-03-12,1096.3183362764269,668.0853423515731,1490.7303089998786
47,2010-03-15,1097.8436576811507,695.3296752653188,1499.193157792386
48,2010-03-16,1096.6886752064383,648.6950189949295,1480.1365719443086
49,2010-03-17,1093.7302865625884,710.960180241804,1486.648577169263
50,2010-03-18,1095.2272153977306,687.4459366496714,1494.297529837322
51,2010-03-19,1096.4136286363337,703.9352618997539,1509.5946949546144
52,2010-03-22,1103.5020626379167,688.1524052625563,1505.5970830982578
53,2010-03-23,1103.9726912218712,713.4871787983976,1518.3611744207028
54,2010-03-24,1102.494078760519,664.9050161081776,1513.5404131715673
55,2010-03-25,1105.3104962484813,715.6635236374086,1503.602259671637
56,2010-03-26,1107.6448008207808,689.4561262770936,1489.6151453651628
57,2010-03-29,1117.0818512503308,694.4132703326901,1535.1033224262128
58,2010-03-30,1117.9639201288853,726.9580654275763,1524.9076163015402
59,2010-03-31,1116.7150161813781,730.4922262921276,1499.2353950679576
60,2010-04-01,1119.5856582232645,706.6946472473431,1532.2521198519455
61,2010-04-05,1130.0138033132,721.3187950737671,1540.7107200330663
62,2010-04-06,1130.2315264909596,693.0492855225249,1524.9820345682633
63,2010-04-07,1128.2146589916642,733.9995180616608,1537.1863822333205
64,2010-04-08,1130.2282924301799,753.783371421764,1533.4131360686881
65,2010-04-09,1131.518189919446,721.5473072494616,1539.2034529320501
66,2010-04-12,1136.6206559775155,713.7248546699409,1576.7917604340378
67,2010-04-13,1135.7428943027078,700.178921497715,1563.6792481434381
68,2010-04-14,1132.6190891094484,733.7204098375385,1561.0401897362972
69,2010-04-15,1133.5241597574882,735.0076202588414,1530.1488907731311
70,2010-04-16,1133.7126545789038,756.8828971398057,1554.507927958438
71,2010-04-19,1135.62708563886,744.5882154342104,1544.5029217311826
72,2010-04-20,1133.7455241152516,740.3025043387131,1519.0835287035059
73,2010-04-21,1129.6557370854741,734.2754367569756,1546.83246083515
74,2010-04-22,1129.6369499718544,719.0949433088042,1534.3257801192253
75,2010-04-23,1128.9477448325813,696.98029589082,1519.1380208149506
76,2010-04-26,1128.545177448348,749.0224820588279,1540.021903788388
77,2010-04-27,1126.0101134739084,698.7668080261689,1517.5373606789137
78,2010-04-28,1121.3334634253874,718.2215011898197,1514.875438002056
79,2010-04-29,1120.799168519915,736.3700084101143,1505.9493338342957
