model,n,accuracy,precision,recall,tn,fp,fn,tp,p_value_vs_baseline
baseline,2936,0.5401907356948229,0.5401907356948229,1.0,0,1350,0,1586,
gbc,2936,0.5309945504087193,0.5482678983833719,0.7484237074401009,372,978,399,1187,0.8457374768020245
logreg,2936,0.5388283378746594,0.5418470418470418,0.9470365699873896,80,1270,84,1502,0.5663602171890805
